chinese,english
阿古朵,Aguto (H)
阿轲,AKe (H)
艾琳,Erin (H)
安琪拉,Angela (H)
白起,Bai Qi (H)
百里守约,Baili Shouyue (H)
百里玄策,Baili Xuance (H)
扁鹊,Bian Que (H)
不知火舞,Mai Shiranui (H)
蔡文姬,Cai Wenji (H)
曹操,Cao Cao (H)
嫦娥,Chang'e (H)
成吉思汗,Genghis Khan (H)
程咬金,Cheng Yaojin (H)
达摩,Dharma (H)
妲己,Daji (H)
大乔,Da Qiao (H)
狄仁杰,Di Renjie (H)
典韦,Dian Wei (H)
貂蝉,Diao Chan (H)
东方曜,Dongfang Yao (H)
东皇太一,Tai Yi (H)
盾山,Dun Shan (H)
暃,Fei (H)
伽罗,Garo (H)
干将莫邪,Ganjiang Moye (H)
高渐离,Gao Jianli (H)
戈娅,Ge Ya (H)
公孙离,Gongsun Li (H)
宫本武藏,Miyamoto Musashi (H)
关羽,Guan Yu (H)
鬼谷子,Gui Guzi (H)
韩信,Han Xin (H)
后羿,Hou Yi (H)
花木兰,Mulan (H)
黄忠,Huang Zhong (H)
姜子牙,Jiang Ziya (H)
金蝉,Jin Chan (H)
镜,Jing (H)
橘右京,Ukyo Tachibana (H)
铠,Kai (H)
狂铁,Magnus (H)
兰陵王,Lan Ling Wan (H)
澜,Lam (H)
老夫子,Fuzi (H)
李白,Li Bai (H)
李信,Li Xin (H)
廉颇,Lian Po (H)
刘邦,Liu Bang (H)
刘备,Liu Bei (H)
刘禅,Liu Shan (H)
鲁班大师,Luban Master (H)
鲁班七号,Luban No. 7 (H)
露娜,Luna (H)
吕布,Lu Bu (H)
马超,Ma Chao (H)
马可波罗,Marco Polo (H)
蒙恬,Meng Tian (H)
蒙犽,Meng Ya (H)
梦奇,Menki (H)
米莱狄,Milady (H)
芈月,Mi Yue (H)
明世隐,Ming Shiyin (H)
墨子,Mozi (H)
哪吒,Nezha (H)
娜可露露,Nakoruru (H)
牛魔,Niumo (H)
女娲,Nuwa (H)
盘古,Pangu (H)
裴擒虎,Tigerous (H)
桑启,Sang Qi (H)
上官婉儿,Shangguan Wan'er (H)
沈梦溪,Shen Mengxi (H)
司空震,Sikong Zhen (H)
司马懿,Sima Yi (H)
苏烈,Su Lie (H)
孙膑,Sun Bin (H)
孙策,Sun Ce (H)
孙尚香,Sun Shangxiang (H)
孙悟空,Sun Wukong (H)
太乙真人,Taiyi Zhenren (H)
王昭君,Wang Zhaojun (H)
武则天,Wu Ze Tian (H)
西施,Xishi (H)
夏侯惇,Xiahou Dun (H)
夏洛特,Charlotte (H)
项羽,Xiang Yu (H)
小乔,Xiao Qiao (H)
雅典娜,Athena (H)
亚瑟,Arthur (H)
杨戬,Yang Jian (H)
杨玉环,Yang Yuhuan (H)
瑶,Yaria (H)
奕星,Yi Xing (H)
嬴政,Ying Zheng (H)
虞姬,Consort Yu (H)
元芳,Yuanfang (H)
元歌,Yuan Ge (H)
云中君,Yun Zhong Jun (H)
张飞,Zhang Fei (H)
张良,Zhang Liang (H)
赵云,Zhao Yun (H)
甄姬,Zhen Ji (H)
钟馗,Zhong Kui (H)
钟无艳,Wu Yen (H)
周瑜,Zhou Yu (H)
诸葛,Kong Ming (H)
猪八戒,Zhu Bajie (H)
庄周,Zhuang Zhou (H)
云缨,Yun Ying (H)
李元芳,Li Yunfang (H)
两人,twins
被动,Passive Skill (TE)
辅助,assist (TE)
队友,teammate
连胜,streak
经济,economy  (TE)
强势,leading
教练,coach
输出,output (TE)
选择,choice
节奏,pace (TE)
今屿,JinYu (P)
发育路,developmental path (TE)
能力,ability
清清,QingQing (P)
对抗路,confrontation path (TE)
团战,Group Fight (TE)
伤害,damage (TE)
开局,opening stage
前期,early stage
Fly,Fly (P)
一波,Rush (TE)
中路,Middle Path (TE)
久哲,JiuZhe (C)
高地,highlands (TE)
久酷,JiuKu (P)
状态,state (TE)
无畏,WuWei (P)
星痕,XingHen (P)
大招,ULT (TE)
清融,QingRong (P)
倒地,fall (TE)
暴君,Bao Jun (TE)
水晶,Crystal (TE)
巅峰,Peek
优势,Advantage
回归,Come Back
卡位,stuck pos (TE)
主宰,Dominate (TE)
转会,club transfer
发挥,exert
推掉,take down (TE)
三路,3 path (TE)
上路,Top Path (TE)
尘夏,ChenXia (P)
先知主宰,XianZhiZhuZai (TE)
位置,position (TE)
久诚,JiuCheng (P)
闪现,FLASH (TE)
打野,Jungle (TE)
零封,sweep
九尾,JiuWei (P)
暗影暴君,AnYingBaoJun (TE)
冰尘,BingChen (P)
钎诚,QianCheng (P)
暗影,AnYing (TE)
复活,revival
下路,Bottom Path (TE)
击破,break
风暴龙王,FengBaoLongWang (TE)
钎城,QianCheng1 (P)
一血,First Blood (TE)
妖刀,YaoDao (P)
帆帆,FanFan (P)
小胖,XiaoPang (P)
三人,triple players
失败,failure
花海,Huahai (P)
狼队,Team Wolf
火豹,huobao
体系,system
集火,focus (TE)
点死,click to death (TE)
清清的,slightly
概率,possibility
提前,advance
联盟,league
主场,home
二队,2nd team
临时,temporal
四强,semifinal
比分,score
淘汰,eliminate
人气,popularity
城市,city
世冠,WorldCup
看好,optimistic
锁定,lock at
渡劫,struggle through
战绩,record (TE)
预选赛,qualifier
尘埃落定,settle down
关注,focus on
参赛,participate
赛程,schedule
小局,small round (TE)
赛前,before game
挑战者杯,championship
消息,information
离开,leave
重回,back to
轮换,switch
操作,operate (TE)
版本,version (TE)
老板,Team Owner
教练组,coach team
官宣,officially announce
夺冠,win crown
AP,AP (TE)
预测,forecast
输掉,lose
拥有,own
发展,develop
大家伙,big guy
遗憾,pity
GEMINI,Gemini (P)
包括,including
训练赛,Scrim (TE)
遭遇,encounter
